Tipo de material,Peso,Ref de Peso 
Metal desplegado C14,1.5,Peso x metro cuadrado
"Canal 3"" (4mm esp)",6.1,Peso x metro lineal
"Canal 4"" (5mm esp)",8.04,Peso x metro lineal
"Canal 5"" (4mm esp)",9.69,Peso x metro lineal
"Canal 6"" (5mm esp)",12.2,Peso x metro lineal
"Canal 6"" (8mm esp)",15.63,Peso x metro lineal
"Canal 6"" (11mm esp)",19.35,Peso x metro lineal
"Canal 8"" (6mm esp)",17.11,Peso x metro lineal
"Canal 8"" (8mm esp)",20.46,Peso x metro lineal
"Canal 8"" (12mm esp)",27.9,Peso x metro lineal
"Canal 10"" (6mm esp)",22.76,Peso x metro lineal
"Canal 10"" (10mm esp)",29,Peso x metro lineal
"Canal 10"" (13mm esp)",37.2,Peso x metro lineal
"Canal 10"" (17mm esp)",44.7,Peso x metro lineal
"Tubo 1/2"" Cédula 30",0.978,Peso x metro lineal
"Tubo 3/4"" Cédula 30",1.1,Peso x metro lineal
"Tubo 1"" Cédula 30",1.6,Peso x metro lineal
"Tubo 1 1/4"" Cédula 30",2.36,Peso x metro lineal
"Tubo 1 1/2"" Cédula 30",2.71,Peso x metro lineal
"Tubo 2"" Cédula 30",3.96,Peso x metro lineal
"Tubo 2 1/2"" Cédula 30",5.32,Peso x metro lineal
"Tubo 3"" Cédula 30",6.75,Peso x metro lineal
"Tubo 4"" Cédula 30",8.74,Peso x metro lineal
"Tubo 1/2"" Cédula 40",1.27,Peso x metro lineal
"Tubo 3/4"" Cédula 40",1.69,Peso x metro lineal
"Tubo 1"" Cédula 40",2.65,Peso x metro lineal
"Tubo 1 1/4"" Cédula 40",3.49,Peso x metro lineal
"Tubo 1 1/2"" Cédula 40",4.37,Peso x metro lineal
"Tubo 2"" Cédula 40",5.44,Peso x metro lineal
"Tubo 2 1/2"" Cédula 40",8.63,Peso x metro lineal
"Tubo 3"" Cédula 40",12.25,Peso x metro lineal
"Tubo 4"" Cédula 40",16.07,Peso x metro lineal
"Tubo 6"" Cédula 40",29.65,Peso x metro lineal
"Solera 1"" 1/8 Esp",0.63,Peso x metro lineal
"Solera 1"" 3/16 Esp",0.95,Peso x metro lineal
"Solera 1"" 1/4 Esp",1.27,Peso x metro lineal
"Solera 1"" 1/2 Esp",5.6,Peso x metro lineal
"Solera 2"" 1/8 Esp",1.27,Peso x metro lineal
"Solera 2"" 3/16 Esp",1.9,Peso x metro lineal
"Solera 2"" 1/4 Esp",2.53,Peso x metro lineal
"Solera 3"" 1/8 Esp",1.9,Peso x metro lineal
"Solera 3"" 3/16 Esp",2.85,Peso x metro lineal
"Solera 3"" 1/4 Esp",3.8,Peso x metro lineal
"Solera 3"" 5/16 Esp",4.75,Peso x metro lineal
"Solera 3"" 1/2 Esp",7.6,Peso x metro lineal
"Angulo 1"" 1/8 Esp",1.19,Peso x metro lineal
"Angulo 1"" 3/16 Esp",1.73,Peso x metro lineal
"Angulo 1"" 1/4 Esp",2.22,Peso x metro lineal
"Angulo 2"" 1/8 Esp",2.46,Peso x metro lineal
"Angulo 2"" 3/16 Esp",3.63,Peso x metro lineal
"Angulo 2"" 1/4 Esp",4.75,Peso x metro lineal
"Angulo 2"" 3/8 Esp",6.99,Peso x metro lineal
"Angulo 3"" 3/16 Esp",5.52,Peso x metro lineal
"Angulo 3"" 1/4 Esp",7.29,Peso x metro lineal
"Angulo 3"" 5/16 Esp",9.8,Peso x metro lineal
"Angulo 3"" 1/2 Esp",13.99,Peso x metro lineal
"Viga IPR 6x4""",17.9,Peso x metro lineal
"Viga IPR 6x6""",29.8,Peso x metro lineal
"Viga IPR 8x4""",19.4,Peso x metro lineal
"Viga IPS 3""",8.48,Peso x metro lineal
"Viga IPS 4""",11.46,Peso x metro lineal
"Viga IPS 5""",14.88,Peso x metro lineal
"Viga IPS 6""",18.6,Peso x metro lineal
"Viga IPS 8""",27.38,Peso x metro lineal
